k,iter,tolerance,numReducers,inputPath,executionTime
25,63,0.001,1,inputs/input_100000x10_25.txt,1169
25,5,0.001,1,inputs/input_1000x5_25.txt,85
10,14,0.001,1,inputs/input_100000x2_10.txt,249
25,4,0.001,1,inputs/input_1000x10_25.txt,69
25,73,0.001,1,inputs/input_1000000x2_25.txt,1566
10,8,0.001,1,inputs/input_1000x10_10.txt,138
25,10,0.001,1,inputs/input_1000x2_25.txt,168
4,5,0.001,1,inputs/input_1000x5_4.txt,85
50,8,0.001,1,inputs/input_1000x5_50.txt,135
10,3,0.001,1,inputs/input_1000x5_10.txt,50
4,5,0.001,1,inputs/input_100000x2_4.txt,89
25,100,0.001,1,inputs/input_100000x2_25.txt,1755
10,13,0.001,1,inputs/input_1000000x2_10.txt,273
4,3,0.001,1,inputs/input_100000x5_4.txt,54
50,100,0.001,1,inputs/input_100000x2_50.txt,1753
50,52,0.001,1,inputs/input_100000x10_50.txt,990
4,3,0.001,1,inputs/input_1000x10_4.txt,51
10,8,0.001,1,inputs/input_1000x2_10.txt,135
10,50,0.001,1,inputs/input_100000x10_10.txt,923
50,100,0.001,1,inputs/input_1000000x2_50.txt,2242
