k,iter,tolerance,inputPath,executionTime
10,9,0.001,input_1000000x2_10.txt,5.820219993591309
10,52,1e-05,input_1000000x2_10.txt,7.554042816162109
25,13,0.001,input_1000000x2_25.txt,5.502997636795044
25,117,1e-05,input_1000000x2_25.txt,32.43124222755432
4,3,0.001,input_1000000x2_4.txt,2.1299970149993896
4,2,1e-05,input_1000000x2_4.txt,3.5799977779388428
50,26,0.001,input_1000000x2_50.txt,12.733173608779907
50,53,1e-05,input_1000000x2_50.txt,66.94732785224915
10,5,0.001,input_100000x10_10.txt,0.8745641708374023
10,4,1e-05,input_100000x10_10.txt,0.892996072769165
25,7,0.001,input_100000x10_25.txt,0.6169998645782471
25,18,1e-05,input_100000x10_25.txt,2.859529733657837
4,3,0.001,input_100000x10_4.txt,0.4259989261627197
4,3,1e-05,input_100000x10_4.txt,0.6510031223297119
50,13,0.001,input_100000x10_50.txt,1.3479998111724854
50,48,1e-05,input_100000x10_50.txt,3.8879973888397217
10,9,0.001,input_100000x2_10.txt,0.42600226402282715
10,20,1e-05,input_100000x2_10.txt,0.5860004425048828
25,7,0.001,input_100000x2_25.txt,0.6329238414764404
25,39,1e-05,input_100000x2_25.txt,1.4849965572357178
4,2,0.001,input_100000x2_4.txt,0.4239201545715332
4,3,1e-05,input_100000x2_4.txt,0.5082850456237793
50,22,0.001,input_100000x2_50.txt,1.1610352993011475
50,134,1e-05,input_100000x2_50.txt,5.187978029251099
10,4,0.001,input_100000x5_10.txt,0.389376163482666
10,14,1e-05,input_100000x5_10.txt,0.5707545280456543
25,6,0.001,input_100000x5_25.txt,0.481966495513916
25,24,1e-05,input_100000x5_25.txt,1.1707298755645752
4,3,0.001,input_100000x5_4.txt,0.37082338333129883
4,2,1e-05,input_100000x5_4.txt,0.4866325855255127
50,15,0.001,input_100000x5_50.txt,1.086634635925293
50,42,1e-05,input_100000x5_50.txt,2.1640331745147705
10,4,0.001,input_1000x10_10.txt,0.3062784671783447
10,9,1e-05,input_1000x10_10.txt,0.26143622398376465
25,6,0.001,input_1000x10_25.txt,0.2426590919494629
25,4,1e-05,input_1000x10_25.txt,0.2670161724090576
4,3,0.001,input_1000x10_4.txt,0.2685737609863281
4,3,1e-05,input_1000x10_4.txt,0.2706873416900635
50,4,0.001,input_1000x10_50.txt,0.2667553424835205
50,5,1e-05,input_1000x10_50.txt,0.24817633628845215
10,7,0.001,input_1000x2_10.txt,0.26976871490478516
10,9,1e-05,input_1000x2_10.txt,0.2586493492126465
25,7,0.001,input_1000x2_25.txt,0.26580333709716797
25,12,1e-05,input_1000x2_25.txt,0.2777712345123291
4,2,0.001,input_1000x2_4.txt,0.2613363265991211
4,4,1e-05,input_1000x2_4.txt,0.25609827041625977
50,14,0.001,input_1000x2_50.txt,0.27080583572387695
50,15,1e-05,input_1000x2_50.txt,0.27568769454956055
10,7,0.001,input_1000x5_10.txt,0.27059340476989746
10,4,1e-05,input_1000x5_10.txt,0.26457953453063965
25,6,0.001,input_1000x5_25.txt,0.2616755962371826
25,7,1e-05,input_1000x5_25.txt,0.2577173709869385
4,3,0.001,input_1000x5_4.txt,0.25914764404296875
4,2,1e-05,input_1000x5_4.txt,0.2567627429962158
50,7,0.001,input_1000x5_50.txt,0.26353955268859863
50,9,1e-05,input_1000x5_50.txt,0.26190900802612305
